method,backend,precision,input_bits,seed,run_id,top1,top5,latency_ms,throughput,total_samples,latency_std
ptq,tensorrt,int4,2,seed_2,trt_ptq_int4_b2_cuda,77.14,93.34,0.492,2034.3,4970,0.276
ptq,tensorrt,int8,2,seed_2,trt_ptq_int8_b2_cuda,77.24,93.3,0.638,1566.3,4970,0.276
ptq,tensorrt,fp16,4,seed_2,trt_ptq_fp16_b4_cuda,77.95,93.74,0.466,2147.0,4970,0.136
ptq,tensorrt,fp32,4,seed_2,trt_ptq_fp32_b4_cuda,77.95,93.74,0.943,1060.0,4970,0.136
ptq,tensorrt,fp8,4,seed_2,trt_ptq_fp8_b4_cuda,77.85,93.74,0.624,1603.1,4970,0.276
ptq,tensorrt,int4,4,seed_2,trt_ptq_int4_b4_cuda,77.73,93.66,0.491,2035.9,4970,0.276
ptq,tensorrt,int8,4,seed_2,trt_ptq_int8_b4_cuda,77.95,93.72,0.705,1418.6,4970,0.276
ptq,tensorrt,fp16,8,seed_2,trt_ptq_fp16_b8_cuda,78.01,93.84,0.472,2117.6,4970,0.136
ptq,tensorrt,fp32,8,seed_2,trt_ptq_fp32_b8_cuda,78.01,93.86,0.952,1049.9,4970,0.136
ptq,tensorrt,fp8,8,seed_2,trt_ptq_fp8_b8_cuda,78.07,93.76,0.645,1551.3,4970,0.276
ptq,tensorrt,int4,8,seed_2,trt_ptq_int4_b8_cuda,77.61,93.66,0.497,2013.1,4970,0.276
ptq,tensorrt,int8,8,seed_2,trt_ptq_int8_b8_cuda,78.19,93.92,0.705,1418.1,4970,0.276
ptq,pytorch,fp16,1,seed_42,torch_ptq_fp16_b1_cuda,69.01,89.44,3.067,326.1,4970,1.244
ptq,pytorch,fp32,1,seed_42,torch_ptq_fp32_b1_cuda,69.03,89.42,2.979,335.7,4970,1.244
ptq,pytorch,fp16,2,seed_42,torch_ptq_fp16_b2_cuda,76.44,93.18,3.036,329.4,4970,1.244
ptq,pytorch,fp32,2,seed_42,torch_ptq_fp32_b2_cuda,76.44,93.18,3.023,330.8,4970,1.244
