cfg.model_precision,Top-1 (%),Top-5 (%),Infer ms (avg),Infer ms (std),Throughput (sps),Samples
fp32,87.02127659574468,97.87234042553192,0.957855070505212,0.15849360267421467,1043.9992758743335,470
fp16,87.02127659574468,97.87234042553192,0.5405163768916688,0.2062105747571347,1850.08270378535,470
int8,86.59574468085107,97.87234042553192,0.7077944321320095,0.2633604529670397,1412.8395966436365,470
fp8,87.23404255319149,97.87234042553192,0.6625698725792005,0.2393357154999,1509.2747820049194,470
int4,86.59574468085107,97.87234042553192,0.4896879706412871,0.18890436985202516,2042.1167354599643,470
